post,sentiment
daland in rawang did a isolate clubhouse too on strata landed township,1
"Yes, 5% + legal fee free",1
"Hi, please add me in EV group. Just sign my SNP last week .",1
Its actually type A and B. The picture both phase. Lighter brick is type A. The darker one type B. I wonder who can start whatapps group for EV4.,1
Hahaha...got many EV4 buyer here ka?,1
EV4 Buyer here too. Please add me to the group.,1
tq,1
When is Elmina Gated and Guarded going to build ?,1
Good to know the reason. Thanks for explanation.,1
"Its all preferences and every location has its pros and cons depending on the amenities, distance to preferred locale and lifestyle. Both locales are good and has potential.",1
3 storey a headache to cleanup,0
yea i think during rush hour after working hours mon-fri 4-6pm ~ ardafter that or weekend no issue very smooth as toll lane very wide and 3 laneanyway seldom drive unless have full electric car,1
"Yes because serviced apartment under commercial title, but they can apply under HDA for residential loan.",1
no la.... i mean inside setia alam itself.... if u say the highway leading to setia alam jam is unbearable... its the nature of a prosperous township ma... haha.... every township also need to jam at peak hours before u enter them... wait til elmina is as matured as setia alam... then its will be different liao..... anyway i also always travel there during 6 something after the toll ok liao wor.... no crazy jam like u mention... i go find my fren nearby the shell setia alam... quite fast to reach after toll... lol.... so far inside setia alam... the only time that will confirm jam is the morning time... when have to passby the international skul....,1
"Elmina is good for own stay, not easy for flip since it started at high pricing.In 3 years it might have reach 50%-80% residents occupancy but commercial area will be slow until its city center ready after year 2020.",0
What is the going rate of Viana and EV?,1
That is absolutely true. I think we need to wait another 5-7 years to see the commercial property ready. The whole Elmina city development is last 20 years and now only at the beginning of 5th years. Still long way lah.,0
"Pentas out of budget la, but new launch orchestra yes, with caveat of course.",0
what caveat ?,0
"Have a chance even being lazy to show up last vs entirely within one's will to decide how much effort is worth to grab a preferred unit?Lay back and wait for sky is not everyone's definition of positive thinking.By the way, SDB always prelaunch units to their affiliates. Surprise you said you had hope.",1
u r lucky then...,1
why don't you march into HLIB hq and get the issue sorted?,1
"the problem is that my schedule is tight until raya...since during loan application they are willing to come to my preferred location, i am expecting the same...i dont know how serious this matter is and no idea how this will effect later. im struggling chasing the marketing guy who left HLIB at the moment...i tot customer should be their main priority....never think the other way around....",0
Write complaint mail to Customerservice@hlbb.hongleong.com.myThey will take immediate action to investigate and sort it out for you.,0
"Try this, it's a view of EV3, but EV4 is right behind ithttp://aeropod.myprism.biz/aero360/SDP/EV/EV3/index.html",1
So high tech!,1
yea safest benchmark is 10% and above.... i just reno not long ago... hence i can give u the more accurate amount... provided ur contractor's quotation the same la haha,1
First round of pain is now but still bearable. Second round of pain will come upon completion next year. Ouch ouch ouch !!!. Need a big pack of panadol. Haha,0
All on raya leave d? Yr sa can follow up 4 u,1
When is good time to sell elmina ev2?,1
i think because temple and water tank.,1
"tough luck man.. don't think there will be any around that price range in Elmina, unless they decide to make something much smaller.. even ecoworld's in ijok area is slightly more than that for a smaller 20x60 size..",0
"Hi, i am new here. I am interested in EV4.Can anyone pm me about the price of EV4 type A intermediate unit, its sales status (how many unit left) and also the package that we will get for EV4 Type A?And also SA contact number.Thanks to all sifu-sifus.",1
satellite image shows city of elmina includeselmina west - development of elmina valley & land clearing of elmina city centerelmina east - land clearing of elmina city square & elmina crescentdenai alam - DASH progress at south4/29/2017 & 11/12/2015,1
"There multiple reason why buyers choose to go with EV vs EG. Previously, I also look arround EG before make my mind on EV. Here is the reason;1. I'm interested on Clusia. Very nice design superlink and quality finishing. But the price is more than RM 1.1 mil for intermediate. Turn me off. I rather buy smaller unit with extra land for better air flow and greenery personalization.Plus, got to prepare more money for initial buy.2. Look at Garinia. Very nice design. Price is nearly RM 900 k. Subsale, got to spend a lot of money to get the unit.3. Keana. Not my taste. Look like factory.4. EV. Decided to go with EV, 7%+2% discount. Only pay 1% and MOT. Value for money and I like the design. Very quality material. Guarded for initial 2 years by SD with perimeter fencing. Also near to matured township, Denai Alam. Feel more lively compared to EG.That is my personal opinion ya. Different people different preference.",1
"I would suggest you seek opinion from your wife or partner. My mistakes in the past have always been looking at size of house, built up, price/sqft, how much down payment, $$$$ etc. All the hard and concrete factors. My wife seem to look for view, house layout, even small things like where to hang clothes and location of washing machine. At then end, if you are looking own stay, these soft factors plays a big part in your decision. If just for investment, then just go with what seem to be the best $$$ value. I chose EV4 type A. Yes. I listen to my wife Haha.",1
"I bought SDP Elmina house not for my wife or girlfriend lah, just for my Kids lah.",1
"so does anyone know the current EV3 package and take up rates? Any discount for EV3 - phase 2 unsold units?read some articles, seems that E&O is taking up huge parcel land in Elmina West. not sure what impact will that be in future. anyone can shed some lights?",1
"Yes,I bought on the launching day,pm repliedWill try it this SundayWent there last Saturday, EV3 left larger units available, 24x75, smaller units all bookedE&O taking land for the wellness center, good news? E&O seems reputable in Penang. Initially I thought they taking Elmina Green land but Elmina Green actually will be launched by SD too, with 250 acres of park, hopefully with attractive pricing",1
"I would say maybe it's your piping fault, normally 2 to 1 piping, we use tee to join the 2 outlets from basin and then to the wall outlet. Your piping is 1 pipeto the wall outlet and the other pipe from basin joining half way, I would say it's abnormal design",0
"Yep, most of Elmina homes are built with quality finishing. One of the reason I bought there.",1
These pictures shared are actual units from EV3? Which?,1
setia alam better location buy or elmina area?,1
"mind to share, how much the corner unit cost of the house in the photo.",1
"OK, thanks",1
"EV 3 & 4 completing when ya ? got any package or rebates ?what do you think, EV or EG. Which one is better/good buy ?",1
Great.Thanks for sharing.,1
http://www.theedgemarkets.com/article/cont...-cost-pressuresThis may put a damper on those hoping DASH highway will push the prices in Elmina.,0
intermediate all sold out. left with corner units. only RM10k rebate,0
I am more interested in knowing when DASH is opened. The article stated early 2020.,1
Denai Alam is featured on Page 18.,1
for those prefer denai alamlast 390 units landed is coming on plot J1 and H1J1 228 units double storey link (targeted to be launched Oct / Nov)22x70 & 22x75 >RM700kH1 162 unit24x80 double storey link >RM850k40x80 semi-D RM1.6mil to RM1.7milplot J1 called FERREAhttp://www.simedarbyproperty.com/ferrea,1
"I can't make it for 15mins from Elmina to Ikea, maybe I'm fast driver. normally it took me 30mins - 32 mins normal traffic and 45min-60 min when it's bad traffic.Almost all the local commercial bank is SDP panel you name it. like MBB, CIMB, RNB, HLB and even HSBC.",0
Did anyone realize KFC has opened in E Boulevard?,1
Is the location for Villa RongSeri bangalow lot previously.,1
"Thanks dude, really help. Pls post more on ev2A.",1
Bro any idea on d price n built up? Wjen is it launching,1
any1 know where is J1 and H1 area? I have no idea where can check it,1
Added.I've created a group for EV3 buyers. Feel free to PM your number.,1
"Hi angeling79, already PM",1
Unless you like the EV3 courtyard design or 24X75 floor plan type very much. I think you should wait for EV5 or Denai Alam J1 launch towards end of the year.,0
"DA J1 is 22X70 and 22X75.I don't know the floor plan layout for EV5, most likely same as EV4.",1
"I dont really like EV3 Courtyard design, I think it is a waste of space. Without the courtyard, I can get bigger space or maybe extra room. That why Im still hesitate and looking for other places. If thats the case, I think H1 is better! cheaper and bigger. Hopefully the layout don't disappoint me",0
Prices for green will be slightly lower I guess? The design doesn't really look that good to me,0
Certainly looks like it's without roof covering.,0
I see. Thanks for correction.,1
Don't buy new launches. It will make many properties unoccupied and can lead to major glut.Buy subsales.,0
"Thanks, i will drop to their elmina gallery this weekend. The 880k is intermediate unit? Whats the land size if you can recall? Im interested the end lot but probably sold out",1
currently there was no mosque in bukit subang or denai alam.can you point it in map?,0
Derogatory term to describe sound from religious ritual. really??,0
Meant sound,1
Nothing there at the moment.,1
Your unit in EV1?,1
Anyone know the progress for Elmina Garden fencing and guarded plan? Hearsay the free security guard going to complete 2 yrs soon and SD will be removing them?,1
Any buyer?,1
#NAME?,1
Further away from temple. Save on interest also,1
http://www.starproperty.my/index.php/surve...rby-forum-2017/There you go. Going?,1
Sime Darby's problem is they make no effort in building mall. They hope only to sell the land for people interested to open mall there.,0
I believe the next Phase MRT line really depending on cash injection by somebody to the Prasarana accounts (or Prasarana let go all rapid business to other GLC or multinational companies).Prasarana now dont have any cash even to enhance MRT facilities included enhance shuttle bus system. Prasarana now totally rely with Gov to inject money. So wait for gov budget on and pray next PM still Najib hahahaha.,0
"Far, further, furthest...",0
"Hi all,EV1 buyer here. I went to the event last Saturday and really excited with the town plan. The free internet was never mentioned before iirc, and it's a pleasant surprise (for me).Glad DASH highway is (somewhat) confirmed.As a buyer for own stay, I really appreciate SD efforts on the Central Park.By the way, the aerial view in SDP app has been updated to August image. You can see the community garden and the TNB substation as shown in the presentation.",1
"Time Broadband usually provide their service for high-end condos only in KV (like Capers, Fennel by YTL etc.). But somehow SDP managed to convince them to provide service for EV, which is great!And DASH is also happening which is an added point for EV. Just missing are nearby basic amenities & well, shopping mall maybe?",1
"Wait, there is a MRT station? Where? I dont see it in KVMRT plan.",0
May I know if there is a Whatsapp Chat Group for EV3? I would like to join as well. Appreciate if admin to whatspp of EV3 can pm me. Thanks,1
Sdp shud plant some shrubs 2 standardize d greens instead of allowing owners 2 plant their own as it will make d backlane looks chaplang n untidy,0
you can PM ur number to me,1
"to me, it is not....to others, it could be the reason...anyway, Elmina is one of the best township for stay or for investment",1
They will increase d price n give more rebatesðŸ˜,0
BSU inside have alot better deals too.... although its leasehold... but 20x70 can get below 600k... to the extent of below 550k... unless its further outside of elmina... then they might have a chance....,0
The early phase which closer to the main road launching price is 1.7+ mil before 5% discount. Latest phase which closer to Crista garden is with addition 70K-100K.,1
Bro if gross profit is 55k how do u get net at 100k?,1
"Maybe the left over units could belongs to SDP or bumi lot. However, 2 months ago I was told that the Vianna only left few bumi units.",0
"Hi I just bought a unit at EV3, please add me to the what's app group. Tq",1
PM me,1
Only end lot available...,0
Tnb main substation & sewage treatment plant. Personally find EV2 better.,0
yeah of cos....7% bumi + 2% prime,1
"not open for car, but you can walk.else you can view from http://aeropod.myprism.biz/aero360/SDP/EV/201709/EV1or google satellite images",0
"72 units phase G3C Elmina GardenMBSA/OSC/PB/SEK.U16/0212/2017 (ID: 102457-1) : CADANGAN PKPL NO.FAIL MBSA/BGN/BB/600-1(PB)/SEK:U16/0186-2015 BERTARIKH 13.11.2015 BAGI CADANGAN MEMBINA DAN MENYIAPKAN 72 UNIT RUMAH TERES 2 TINGKAT DI ATAS SEBAHAGIAN LOT 360, FASA G3C ELMINA EAST, SEKSYEN U16, 40160 SHAH ALAM UTK TTN SIME DARBY ELMINA DEVELOPMENT SDN BHD oleh SIME DARBY ELMINA DEVELOPMENT SDN BHD di Majlis Bandaraya Shah Alam",1
better go elmina gallery to find out your contact with SA,1
"Ok thank you bro... i understand price start aroung 700k, need to find out anygood promo or not.",1
"G6 (Tiana), G3b (Viana) already started bro.",1
"ah, very informative of you as usual",1
sharp eyes,1
"Good afternoon guys, coming Thursday I have an appointment to view 1 unit for Cressida and another for Keana, Elmina. Any tips or questions that I should raise regards the details of the constructions beside the purchasing details? Thanks",1
"There is not much complaints on keana reported by the RA member, but not Cressida, where there are many problem reported on the car porch ceiling but not sure the problem is rectified by the achitect.",0
Elmina Valley hands down,1
removed,1
Elmina valley's road is link to denai alam.Elmina green is so deep in. The whole area will take long long time to matured.,0
Bro how much is ferrea selling? Launched d?,1
"5% discount? if PRIME member will have extra discount?after discount, the price per square ft is lower than elmina valley?",1
"EV1 & 2 should be no discount...i only remember EV2 type A selling price is 645,888, both is 20 x 70EV2 Type A 1855 sq ft, no discount645,888/1855 = RM348.19 per sq ftEGreen1 Type 1 2016 sq ft, 683,888, after 5% discount 649.693649.693/2016 = RM322.27 per sq ftmy calculation correct?price drop? material different? or location?",0
keep record on cycling & jogging tracksource : EG1 brochure,1
so this saturday launch will have ballot and need on the spot pay booking fees rm10k ?,1
"SDP do accept credit card payment not only for booking fee, 10% down payment too.",1
EV2 photos :-,1
U sapu a unit in eg bro?,1
"ballot site at Elmina Pavilion, right ? big crowd ?got 90% sold out ? usually left only corner unit.",1
EV2 buyer here. Pls add me into whatsapp group,1
Pls excuse the multiple post,1
"703k is before or after 5% early bird discount ?Some think pricy, some don't think so.As usual EG1 also habis sapu except corner units.",1
"Exactly..just becoz of yur intolerance of the ""annoyance"", many dogs could have died...u staying in million ringgit nice plush home and cannot tolerate a few barks or some dirty rubbish bin so u reported the dogs and WHAM, many lives lost and how about tis, wat if some of the dogs pregnant, so u end up killing all the unborn pups oso just to remove yur little annoyanceU can tolerate everyday aeroplane flyi g over noise so dunt tell me some dogs barking cannot..who knows they barking and chasing away intruder...They r living in fear and exposed to the hot sun, rain, cold nights everyday whileu living in yur comfy aircon palace witplenty of doHumans should felt grateful for their existing blessing, a king can fall to become a pauper, and one day u may woke up to find u have exchanged place wit them, a persons fate can rise and fell without warningSo i hope u tink before u make tat call broInstead of creating negative actions by creating killng karma, u shouldbe humble and count yur blessingsable to afford such big house, and create more positive karmaCozkarma will always come.back to haunt u or yur loved ones trust me..whther u r a believer or not, tis is the law of natureAs they said, the road to hell is paved wit many gud intentions",0
is after discount.before discount is rm733K - 5% discount.so around rm690K affter discount.,1
"low density rumah selangorku 562 units but not sure how large of the land sizeMBSA/OSC/S/SEK.U17/0140/2017 ONLINE: 102282-1 : CADANGAN MEMBINA RUMAH SELANGORKU JENIS C (98 UNIT) DAN JENIS D (464 UNIT) YANG MENGANDUNGI; I. BLOK A RUMAH SELANGORKU â€“ 19 TINGKAT (186 UNIT) PODIUM TEMPAT LETAK KENDERAAN â€“ 6 TINGKAT II. BLOK B â€“ 19 TINGKAT (180 UNIT) III. BLOK C â€“ 20 TINGKAT (196 UNIT) IV. 11 UNIT KEDAI â€“ 2 & 3 TINGKAT V. 1 UNIT DEWAN SERBAGUNA VI. 1 UNIT SURAU VII. 1 UNIT PONDOK PENGAWAL VIII. 2 UNIT RUMAH SAMPAH DI ATAS LOT : PT 54367, FASA EG2, JALAN PERSIARAN CASUARINA, SEKSYEN : U17, MUKIM SUNGAI BULOH, DAERAH PETALING, SELANGOR DARUL EHSAN. oleh SIME DARBY ELMINA DEVELOPMENT SDN BHD di Majlis Bandaraya Shah Alam",1
"btw, elmina green location very near to Glomac saujana perdana RM369K 18x65 1419sqfother than developer name and the freehold title, why SD set the price so high....",0
Opportunity cost lo sdp allocate so much land 4 parks so cant sell frm frm these land so need 2 factor in2 d eg delling price,0
"Usually sime darby park open to public, so that the owners or sime darby no need to maintain itAt the end MBSA will maintain sure will open for public",1
If im nt wrong sdp staff can use staff benefit 2 sapu prop once every 6 or 7 yrs so nt likely lo 100k staff sapu elminaðŸ˜ furthermore elmina nt really cheap also.Sa called me n asked whtr i keen 2 sapu eg since got balance n can get 2%+5% rebate so net abt 650k. I said 2 pricey lehðŸ˜¯he said serenia city launching mid 2018 so got time 2 save bulletsðŸ˜„ðŸ˜…,1
"From google maps, the street by west side is Persiaran Mokhtar Dahari and the Persiaran E1/1 by north side.",1
"nice sale, consider the area and competitor.i think this is EG1A 187 units, the another side EG1B have another 211 units",1
Thanks for sharing!Greatly appreciate it.,1
propose......when can come true,1
"Thts y need 2 ensure d lrt line dont inconvenience d residents. Its good 2 have lrt/mrt as an alternative transport mode, this will reduce d pollution n traffic congestion oso",0
Maybe fcfs basis until quota habis. Lol,1
"Well, as they said, they ia a sucker borned every minute...people are still talking about investing , and poperty vested media still trying to sing old song..fine examole is Macau scam and love or parcel scam, people still fell victim losing hundreds od thousands even millons",0
I want to add plus property gain tax.. hahaha,1
It's RPGT,1
"long wait chinese schoolPUTRAJAYA: The Government has approved the construction of 10 new Chinese primary schools in Johor and Selangor, the Education Minister said.Datuk Seri Mahdzir Khalid (pic) said at a press conference at the ministry here on Thursday (Oct 26) that the new schools are:1. SJK Â© Kuek Ho Yao in Mount Austin, Tebrau, JB, Johor2. SJK Â© Sim Mow Yu, Tmn Bisdari Perdana, Plentong, JB, Johor4. SJK Â© Tan Kah Kee, Kulai, JB, Gerbang Nusajaya, Iskandar Puteri, Johor5. SJK Â© Cheah Fah, Pulai, JB, Sunway Iskandar, Johor6. SJK Â© Lee Loy Seng, Bdr Seri Coalfields, Ijok, Kuala Selangor, Selangor7. SJK Â© Sunsuria, Bdr Sunsuria, Sepang, Selangor8. SJK Â© Tun Ong Yoke Lin, Gamuda Cove, Kuala Langat, Selangor9. SJK Â© Tun Lim Chong Eu, Eco Grandeur, Puncak Alam, Selangor10. SJK Â© Too Joon Hing, Dengkil, Sepang, SelangorMahdzir added that six more schools would be relocated to new sites.The six schools to be relocated are:1. SJK Â© Poay Chai, Singkir, Kedah to Tmn Bkt Indah, Johor2. SJK Â© Poi Min, Gopeng, Perak to Puchong Perdana, Puchong3. SJK Â© Aik Hua, Taiping, Perak to Kota Seriemas, Negri Sembilan4. SJK Â© Ladang Regent, Gemencheh, Negri Sembilan to Bandar Elmina, Selangor (new name to be revealed)5. SJK Â© Panching, Kuantan, Pahang to Kota SAS, Pahang6. SJK Â© Ladang Grisek, Bkt Gambir, Ledang, Johor to Tmn Kota Masai (new name to be announced)Read more at http://www.thestar.com.my/news/nation/2017...XO6CfUrGp8km.99",1
western corridor go stronger now...,1
actually elmina is quite popular.. i wonder how many are investors and how many actually want to move there..,1
not sure hows the occupancy rate of those which already VP in this township.... price is kinda high for investment... and location is not really renting attraction location....,0
coz when drive around elmina garden.. alot of units are empty.. cant be ppl buy already but don't want to move in right?,0
I think when DASH highway completed that road still not yet open. Kwasa land son't have any project start now. I think they will only open when the project done.I rather use DASH if compare both.,0
Dash needs another 2 to 3 years to complete...If Persiaran Atmosfera extension done it would cut short the distance to MRT at Kwasa and Kota Damansara.,0
"he must be a investor la, not kancheong to move in.. thats why.",1
"Now SDP after restructure a lot of new staff that make me hard to follow up. They always said many defect case are waiting also, ask me wait patiently. Haha..",0
"Still, taking a year to settle all defects sounds cray-cray. Add in the time for renovations and furnishing and you're looking at a year and a half after collecting the keys before you can move in?Cannot wei.",0
That's Y now try as soon as possible lo. hahaBut good point is now more and more neighbour start move in already.Otherwise scary also if no body in the Taman.,0
If use white bricks then u will feel d heat even at night if day time its sunny n hotSdp will use red bricks 4 premium prop only,0
sure is only for premium? i tot they mix also.. unlikely they will use red bricks for the whole unit.,1
"the white one is called sand brick.the red one is called clay brick.there is hybrid of two, but rarely used in Malaysia.only recent times I notice some developers mixed two types of bricks. Before its was either clay or sand. I also noticed before clay is MOSTLY used on freehold properties and sand was on leasehold....but the distinction is less obvious now.was told sand brick is cheaper than clay brick.clay is obviously better as its more densed and less porous. but for 2s homes, I personally think that the foundation method and support beams are more important than what bricks used to build home. Unfortunately no SPA clearly stated what bricks they will use to construct yr home....so this part it is a lost battle for homeowners.",0
nt very sure but u can c from their brochures 4 d lower priced props they use white bricks,1
"am i see this correct ,, this one using red bricks? looks red to me on all sidessimedarby ev3 using whiteclay?",1
its location on quote above,1
"yea.. and im not talking about the houses, coz that cant be help and eventually some will have their own style and want to be different. But in terms of common facilities and comparing those similar conglomerate developers that build township, sime darby still have a lot to do to be the top and elmina is branded to be that kind of township but if you look at details like perimeter fencing, landscaping, concepts and even sales gallery.. they are still not as good as eco considering eco is new in the market.",0
no clubhouse in elmina?,0
What wrong with SDP property progress tool? I can't view in my desktop and also phone app. Anybody know?,0
http://www.starproperty.my/index.php/artic...lness-in-check/,1
haha ok lor . but for advertisement better clean it .,1
you mean paint brushed it?,1
Fenced and Gated.,1
Ahh..,1
"Aerial view has been updated with latest image. not much difference compared to October, but you can see more trees planted in EV1.http://aeropod.myprism.biz/aero360/SDP/EV/201711/EV1/",1
Saw a news rpt quoting him on elmina last mnth chao d?,1
Public Bank 4.1 first year and 4.22 the remaining years,1
elmina gardens is in the flight path? i thought they are away from the flight path,0
"better go there feel by yourself, evening time many people jogging there, can park your card after the first gate",1
http://www.flightconnections.com/,1
ferrea dont have F&G ??,0
Dont believe this guy la it looks la he's been paid. He predicted many times before there will be bubble bust (not bubble butt).No bubble bust also. You don't need to have 25 years experience to know its up to demand supply only. Demand is still there but not that strong because price is ridiculous now especially for high rise. 600psf in ulu areas for high rise surely put off investors and buyers alike.My take is that high rise will fall a little bit only. Landed continues to stable and remains the long term investment solution.,1
"denai alam is kampung style, do you need border line in kampung?it's hard for the urban netizen to understand this.",0
It is easy to understand why Malaysia's crime rate is so high until one needs to live in a G&G community to feel safe.,0
It's subject to area and most importantly personal precaution of crime.There are bungalows without F&G or G&G in the KL city area where I stay and nothing happen to them over many years.,1
"Just put a booking for EV3. Kinda worried when we move in, the place will be empty since units at left and right, and front too are still not sold... haha ðŸ˜…",0
"Yes, me too planning to move in next year if everything goes smoothly.",1
Is it the area beside Petronas?,1
Where is ferrea site actually?Not the one next to bungalow right?,1
Possibility Rumahku Selangor? Coz I saw in the overall masyerplan but cannot recall the exact location,1
"Can u please please please mark it on the map?What about the difference in sun orientation? If you're particular about that, you might want to research a bit on it.",0
"So true, if the peolple staying in front or beside u r ""neighboir from hell"", and unfortunately many such neigjbours..they will park all their cars where they f3Feeellike, ( sometimes in the middle of the road) even if front of neigjbor house or monopoly all the surrounding parking spaces with their stupid old modified cars.rev their stupid cheap cars to show offmake loud noises..pity those neighbors, thoee educated justpatience with theese uneducated peollleIt depends on where u buy, buy affluent projeck lessen the chances",0
https://www.nst.com.my/node/308081/amp63% take-up rate for Ferrea and 40% for Liana,1
The condo located in ulu ulu place,1
well its true that if you working in KL... i wont suggest anyone to stay here unless u are looking for a brand new landed... and to be fair... the job opportunities nowadays are not focusing only at KL anymore... PJ subang offering alot of high income jobs as well... and MNC also alot focusing on having their offices around PJ subang.... unless u are working in a local bank or local listed co.... generally KL is not the main focus in finding job or for entertainment anymore... as an ex cheras lang... i dont like to go into KL for entertainment anymore as well...,0
hair line cracks is quite common la.. probably paint issue.. but big crack then is an issue.,0
"Setia alam new launching i thnk kecik compared 2 elmina , ppl prefer big dsl like 30x100 liana.Cincai in terms of what?",0
Landscaping..perimeter fencing... guard hse.. up keep of denai alam... trees.. etc..,1
land size of this phase? seems like they minimize the car porch length.... shud be bigger BU for staying in....,0
20x60bigger build uplarger than 20x70 hillpark last i checked,1
"Land size 20 x 60, BU 1709sqft. Decent BU i guess, not much to reno outside. I guess i'll be spending only on the interior. Balcony for master bedroom also very small, unlike EV2. Luckily my unit is facing the field, maybe i can park one car outside.",1
car oni mah.. u wont be driving a porsche staying in 20x70 double storey rite... just let it tanned lo,1
"frenminus the carporch of at least 200sq (20x10), internal staircases, tiny balcony......I think true BU only 1400 or 1300sq only.",0
work-life balance not ngam already... for older gen... its either they work very hard to enjoy further later in life or already retired earlier... lol...,0
"for me, even daytime, i also open light in the living room, haha",1
Sure can be done as long as it fulfills the minimum required setback by the authorities,1
"5 feet for sure on car porch roof, awning is another guideline, still checking google.",0
"size and location matters... quite obvious in this case... the houses of other developer near elmina green is selling at cheaper pricing... its will be hard for them to sell at ferrea level pricing there.... see which one is your priority... budget or location... for some ppl... closer to DASH exit, mrt and towards subang.... some willing to pay more to stay closer to those amenities....",0
"Hello guys, just wondering what do you think about Elmina Liana?Is it worth it? (Just married, no children (yet), family and in laws in shah alam)Help.",1
If affordable and like it for own stay then buy lah.,1
"This is 24X79 super link unit with BU 23++ SF, Since it still new once go down RM810K, people sapu already.",1
Contacts can be bought.,1
Auction price has nothing to do w developers price.Banks 1st need to sell at reasonable sellable price so that than can cover the loan amt and will not disadvantage to owner.Some auction property has been vped for many years jor....developers price not important anymore.,1
"Me, but Iâ€™m not an agent. I work for Sime",1
Sharing of short video taken when passed by Elmina Valley :-https://www.youtube.com/watch?v=vTfDMRZ2Z6c&feature=youtu.be,1
thanks,1
"Some pictures of EV1,2 : https://forum.lowyat.net/topic/3615469/+2080",1
"Iâ€™m wondering about the same thing. There are about 7-8 units in my row that are still available, same goes with the row behind and across.Do you have pictures of the empty unit?",1
"Took these pictures Elmina Valley 3B around 1.5 months ago, since the showroom wasn't ready yet so we just drop by the unit next to it.* the last picture is phase EV3A, but now I guess the roof is install and a lot more clean up.",1
"It depends though... haha... like us, we kinda prefer it like that so we can i.d it like how we want.This is what they did:",1
Any aerial view on Viana / Teana?,1
Will Eco Grandeur benefit from this new exit/entrance ?,1
"Thinking to buy a subsales for Elmina Valley, but dilemma 20*60 (EV1) or 20*70 (EV2).Please advice which is more worth for money, thanks !",1
"new added, saujana utama link & elmina direct DASH access",1
for me is the location and reasonable price la.... its near to damansara/bandar utama (wife office) and also thats the nearest landed house we could find at that moment...wife not prefer subsale house...so whack only lah....we did survey houses at saujana utama & puncak alam...very far and at night the road dark & scary lah,1
"for working couple with 2 children, 4 toilets are just good enough to have private toilet when wake up in morning, time saving.",1
"owh...then i go for walk only this weekend....and before they put bumpers, i want to keep the road as drag track this weekend....hahahaha...can do photoshoot some more...hahaha",1
hopefully the TN50 label will translate into a properly maintained park until 2050 at least.,1
"Yea, just drop by to get to know more about Elmina project would be good. Many salesperson will be available too.",1
"in case some of you didn't notice, the aerial view is updated to January viewhttp://aeropod.myprism.biz/aero360/SDP/EV/EV1/http://aeropod.myprism.biz/aero360/SDP/EV/EV2/http://aeropod.myprism.biz/aero360/SDP/EV/EV3/http://aeropod.myprism.biz/aero360/SDP/EV/EV4/",1
"Thanks for the details updates, hope they covering the update in coming years for EV in details.",1
i just noticed in ev3 b type got m - mirrorwhat mirror meh,0
"Most likely EV1 owners will receive our keys before end of February.So, the workers quarters is very near to EV1. I hope they will move it away by the time we moved in. I can't help but to feel a bit insecure with the workers quarters nearby.From the aerial view, the promised guardhouse is still nowhere to be seen. I guess they have about one month to build it.",0
"oh recently only....no need to worry...will take some time for the process..few mths i guess... i started to pay the progress fee since Aug 2017, loan appved in 2016 hahahaha",1
"Ooh that late? Just asked my bank officer he said no problem with my loan, so yeah gonna take them awhile till the time i need to pay... haha",1
"my loan approved in last year, i were considering mbb, rhb and hlb. at the end i take hlb term loan at 4.3% daily rest.i remember all these 3 banks offer same rate, while mbb n rhb are fully-flexi loan, hlb is semi-flexi term loan.the reason i chose hlb is because during construction period, the advance payment can ""off-set"" the released amount. i can save more interest even during construction period.rhb only can off-set advance payment after construction.",1
How much extra you pay in advance ? and how much interests it saves ?,1
"yes, hlb loan is not fully flexi, dont hv current account to monitor advance payment.no notice required to bank in advance payment, but for withdrawal need to write in and takes time to get the fund (if not mistaken, is 30 days). rm50 charges per withdrawal.indeed, fully flexi loan is very convenience. but, hlb semi-flexi more suitable to me, as i dont hv too much in n out transaction.24mths construction period, if i save rm1k for 12 mths, i hv rm12k to buy furniture, appliances, etc",1
"Hey guys, anyone can share some main points that was discussed during the residents meet up?",1
"they changed the rules already?in last year march, the rhb banker told me can not offset.",0
"those fencing just separate car road & walking path, after fencing is a park with basketball court",1
"good, i'm over look on the temple road",1
Read a report on paultan. Talks about the progress of the DASH highway. Says that it's on schedule for completion in 2020.,1
"So far, only Maybank and CIMB has made annoucement. Waiting my bank panel for official announcement, expected an increment of around RM100-RM200 for the additional rates.",1
.,1
"It's the same.Simply because of safety concern, minor constructions still on going and the road pavement is not ready for public yet.",0
"Thanks for this.Thereâ€™s not much differences going on since the previous update.About the guard house, how long do they have after handing the key to complete the guard house?",1
"Don't you think those are painted pictures ? PS version if you look into color details of road & roof, etc",1
See this :,1
"The ones you put in boxes are showing theyâ€™re in different sizes? If so, I guess itâ€™s meant to be different based on the rest - like one big pillar then small pillar...",1
What's weird about those?,1
please get a drone and verify it,1
White color on top surface and side surface looks different.,1
"4th row from flats, http://aeropod.myprism.biz/aero360/sdp/ev/EV2/, is the gate color for the 2 units normal ? you can view it using Windows Magnifier.If look at color in Jan/2018 pictures, this is real, http://aeropod.myprism.biz/aero360/sdp/ev/201801/EV2/",1
Dont see anything wrong either. Lol,1
"honestly, i don't think they edit much on the picture. maybe the image distorted a bit, which is expected from a 360degree view. At most, maybe they enhance the color a bit. nothing more than that.",0
"I see, ok. And why would you think that they would want to edit the pictures?",1
"As i mentioned earlier, here's the chance for you to get with better offer.For more info:https://www.simedarbyproperty.com/campaign/...content=promo_1",1
Any EV1 owners gotten their keys?,1
not yet. should be by end of this month or next month.,1
